file,version,percent,correct,total
ASTResolving,v2,50.0,9,18
ArrayReference,v2,91.7,11,12
BaseTypes,v2,100.0,10,10
BaseTypes,v3,100.0,10,10
BaseTypes,v4,100.0,10,10
BaseTypes,v5,100.0,10,10
BaseTypes,v6,100.0,10,10
BaseTypes,v7,100.0,10,10
BuildPathsPropertyPage,v2,76.9,10,13
CPListLabelProvider,v2,75.0,9,12
CompilationUnitDocumentProvider,v2,94.1,16,17
DeltaProcessor,v2,75.0,9,12
DialogCustomize,v2,87.5,7,8
DirectoryDialog,v2,100.0,3,3
FontData,v2,85.7,12,14
GC,v2,92.3,12,13
GC2,v2,90.9,10,11
JavaCodeScanner,v2,100.0,13,13
JavaModelManager,v2,100.0,6,6
JavaPerspectiveFactory,v2,87.5,7,8
PluginSearchScope,v2,50.0,4,8
RefreshLocal,v2,66.7,4,6
ResourceCompareInput,v2,73.3,11,15
ResourceInfo,v2,100.0,13,13
SaveManager,v2,66.7,4,6
TabFolder,v2,16.7,2,12
asdf,v2,66.7,4,6
Overall,,82.5,236,286
